职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
嵌入式软件工程师,1-1.5万/月,上海,上海华铭智能终端设备股份有限公司,民营公司,,建筑/建材/工程,08-15
雷达软件开发工程师（ADAS）,1.5-2.5万/月,上海,上海保隆汽车科技股份有限公司,民营公司,,汽车,08-15
软件开发工程师,1.5-2万/月,上海,舞川环境科技（上海）有限公司,民营公司,,环保,08-15
嵌入式软件开发工程师（不外包）,1-1.5万/月,苏州-高新区,广州市鼎徽商务服务有限责任公司,民营公司,150-500人,计算机软件,08-15
国金证券国金道富-Java软件工程师（上海）(J13764),1.5-2万/月,上海,国金证券股份有限公司,民营公司,1000-5000人,金融/投资/证券,08-15
中国外运科创中心---软件工程师,1-1.7万/月,深圳-福田区,中国外运（香港）物流有限公司,合资,150-500人,交通/运输/物流,08-15
嵌入式软件工程师,1-1.5万/月,深圳-龙华区,深圳市金文通电子有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
软件工程师,6-8千/月,漳州,福建福欣特殊钢有限公司,合资,1000-5000人,原材料和加工,08-15
java软件工程师,6-8千/月,西安,北京智信远景软件技术有限公司,民营公司,少于50人,计算机软件,08-15
Java软件工程师,4.5-9千/月,南京,上海盖讯信息技术有限公司,民营公司,50-150人,计算机软件,08-15
软件工程师,5-7千/月,楚雄,宇泽半导体（云南）有限公司,民营公司,1000-5000人,电子技术/半导体/集成电路,08-15
嵌入式软件开发工程师-电机驱动方向,0.7-1.5万/月,常州-新北区,三通（常州）电子科技有限公司,外资（欧美）,50-150人,电子技术/半导体/集成电路,08-15
软件开发工程师,10-15万/年,无锡-梁溪区,用友网络科技股份有限公司无锡分公司,民营公司,50-150人,计算机软件,08-15
嵌入式软件工程师,1.5-4万/月,北京-昌平区,上海欣影电力科技股份有限公司,上市公司,50-150人,电气/电力/水利,08-15
下位机软件工程师,0.8-1.5万/月,宁波,宁波拜特测控技术股份有限公司,上市公司,150-500人,电子技术/半导体/集成电路,08-15
.net软件工程师（五险+双休）,0.5-1.2万/月,昆明-五华区,昆明伏沃德科技有限公司,民营公司,少于50人,计算机软件,08-15
(ERP)软件工程师,6-8千/月,东莞,东莞联茂电子科技有限公司,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,08-15
高级软件工程师,1.5-2万/月,深圳-龙华区,深圳市芬能自动化设备有限公司,民营公司,150-500人,仪器仪表/工业自动化,08-15
嵌入式软件工程师,1-1.4万/月,南京-江宁区,南京晓飞智能科技有限公司,民营公司,少于50人,航天/航空,08-15
软件工程师(VC/C++/自动化/激光/设备),1.3-2.5万/月,深圳,深圳市海目星激光智能装备股份有限公司,上市公司,1000-5000人,仪器仪表/工业自动化,08-15
嵌入式软件工程师,1-1.5万/月,常州-武进区,江苏今创交通设备有限公司,上市公司,,机械/设备/重工,08-15
嵌入式软件工程师,1-1.5万/月,广州,广东纽脉电器有限公司,民营公司,50-150人,通信/电信/网络设备,08-15
