职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
Web前端开发工程师,1-1.5万/月,深圳,北京恒赢智航科技有限公司,民营公司,150-500人,计算机软件,08-15
前端开发工程师,1.2-1.5万/月,上海-静安区,上海金仕达卫宁软件科技有限公司,合资,150-500人,计算机软件,08-15
Web前端开发工程师,1-1.5万/月,武汉-东湖新技术产业开发区,武汉智图科技有限责任公司,民营公司,50-150人,建筑/建材/工程,08-15
Web前端软件工程师,20-40万/年,上海-浦东新区,上海国微思尔芯技术股份有限公司,合资,150-500人,电子技术/半导体/集成电路,08-15
Web前端开发工程师,0.8-1.2万/月,常州-新北区,江苏常居房地产营销策划有限公司,民营公司,1000-5000人,房地产,08-15
前端开发工程师,1-1.5万/月,深圳-龙华区,深圳市叁世纪智能科技有限公司,民营公司,,计算机软件,08-15
Web前端开发工程师,1-1.5万/月,西安-雁塔区,陕西康华数据科技有限公司,民营公司,少于50人,计算机软件,08-15
前端高级工程师,1-1.5万/月,珠海-香洲区,珠海灏睿科技有限公司,民营公司,150-500人,计算机软件,08-15
Web前端开发工程师,1.2-1.8万/月,南京-鼓楼区,江苏濠汉信息技术有限公司,民营公司,50-150人,计算机软件,08-15
web前端开发工程师,1.5-2万/月,宁波,浙江姬存希化妆品有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-15
前端开发工程师（高薪急聘）,0.5-1万/月,广州-黄埔区,广州哔哔互联网服务股份有限公司,民营公司,少于50人,互联网/电子商务,08-15
前端开发工程师,1.3-1.6万/月,南京-建邺区,南京汉卫公共卫生研究院有限公司,民营公司,少于50人,医疗/护理/卫生,08-15
前端开发工程师,0.8-1.5万/月,广州-荔湾区,广州逗号文化传播有限公司,民营公司,50-150人,影视/媒体/艺术/文化传播,08-15
前端开发工程师,1.5-3万/月,上海-浦东新区,上海江村市隐智能科技有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),08-15
Web前端开发工程师,0.7-1.2万/月,广州-番禺区,广州博慧众成科技有限公司,民营公司,50-150人,计算机软件,08-15
前端开发工程师,1-1.5万/月,上海-长宁区,一泽信息科技（上海）有限公司,民营公司,少于50人,计算机软件,08-15
初中级前端开发工程师,0.9-1.8万/月,杭州,浙江省公众信息产业有限公司,国企,500-1000人,通信/电信运营、增值服务,08-15
Web前端开发工程师,0.7-1万/月,长沙,长沙远望软件技术有限公司,民营公司,50-150人,计算机软件,08-15
中高级前端开发工程师,1.5-2万/月,上海-浦东新区,上海凯馨信息科技有限公司,民营公司,少于50人,计算机软件,08-15
Web前端开发工程师,1-1.5万/月,成都-高新区,成都信达智胜科技有限公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,0.7-1.2万/月,杭州-钱塘区,浙江锦阳控股集团有限公司,民营公司,150-500人,多元化业务集团公司,08-15
Web前端开发工程师,5-8.5千/月,深圳-南山区,哈思曼家居（深圳）有限公司,民营公司,少于50人,互联网/电子商务,08-15
前端开发工程师,0.6-1.2万/月,上海-浦东新区,上海佳依佳信息科技有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,1-1.5万/月,北京-房山区,北京天拓数信科技有限责任公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,5-8千/月,惠州-惠城区,惠州佣房无忧网络科技有限公司,民营公司,少于50人,计算机软件,08-15
Web前端工程师,1-1.5万/月,张家港,江苏耐维思通科技股份有限公司,上市公司,50-150人,计算机服务(系统、数据服务、维修),08-15
Web前端开发工程师,1-1.5万/月,成都-高新区,成都中联华睿人工智能科技有限公司,民营公司,50-150人,电气/电力/水利,08-15
Web前端开发工程师,1.2-1.8万/月,深圳-南山区,深圳市商票圈科技有限公司,民营公司,50-150人,金融/投资/证券,08-15
前端开发工程师,1-1.5万/月,苏州-工业园区,活动嘉（苏州）高科技有限公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,0.8-1.5万/月,成都-武侯区,北京亿聘世纪管理咨询有限公司成都分公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),08-15
Web前端开发工程师,1-1.5万/月,上海-闵行区,上海通立信息科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
web前端高级开发工程师,1-1.6万/月,武汉-洪山区,上海昊沧系统控制技术有限责任公司,民营公司,150-500人,计算机软件,08-15
Web前端开发工程师,1-1.5万/月,南京-建邺区,南京知风之自网络科技有限公司,民营公司,50-150人,通信/电信/网络设备,08-15
前端开发工程师,0.8-1.5万/月,南京-秦淮区,南京铁行网络科技有限公司,民营公司,,互联网/电子商务,08-15
Web前端高级开发工程师,1-1.5万/月,合肥-瑶海区,安徽机器猫电子商务有限公司,民营公司,少于50人,互联网/电子商务,08-15
前端开发工程师,0.7-1.2万/月,杭州,杭州致成能源科技有限公司,民营公司,150-500人,计算机软件,08-15
高级前端工程师,0.8-1万/月,南宁,广西殊诚众服信息技术有限公司,民营公司,50-150人,计算机软件,08-15
高级前端开发工程师,2-3万/月,南京-雨花台区,开鑫金融科技服务江苏有限公司,国企,150-500人,金融/投资/证券,08-15
HQ-Web前端开发工程师(J11877),1.5-2.5万/月,广州,CVTE,上市公司,1000-5000人,电子技术/半导体/集成电路,08-15
Web前端开发工程师,1.5-2万/月,武汉-武昌区,湖北快嘟物流信息技术有限公司,民营公司,50-150人,交通/运输/物流,08-15
Web前端开发工程师,1-1.6万/月,上海-嘉定区,上海威狐网络科技有限公司,创业公司,少于50人,生活服务,08-15
Web前端高级开发工程师,1.2-1.6万/月,青岛-市北区,青岛海联软件科技有限公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,20-30万/年,上海-闵行区,上海思量量子科技有限公司,创业公司,少于50人,电子技术/半导体/集成电路,08-15
Web前端开发工程师,1.8-3万/月,深圳-南山区,深圳市先创数字技术有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),08-15
前端开发工程师,0.7-1.2万/月,重庆-九龙坡区,上海互盾信息科技有限公司,民营公司,150-500人,互联网/电子商务,08-15
前端开发工程师（银行金融）,1.4-1.8万/月,深圳,深圳市睿服科技有限公司,民营公司,500-1000人,计算机软件,08-15
高级前端开发工程师,1.5-2.5万/月,深圳-南山区,深圳市爱路恩济能源技术有限公司,民营公司,50-150人,计算机软件,08-15
WEB前端开发工程师,1.8-2.5万/月,上海-长宁区,上海磐昭智能科技有限公司,合资,1000-5000人,电子技术/半导体/集成电路,08-15
Web前端开发工程师,0.8-1.5万/月,武汉-洪山区,武汉盛华伟业科技股份有限公司,民营公司,50-150人,计算机软件,08-15
射频前端功率放大器研发工程师,2-2.5万/月,北京-海淀区,北京中电宏业科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
Web前端开发工程师,7-9千/月,广州-海珠区,广州圆原元网络科技有限公司,民营公司,少于50人,互联网/电子商务,08-15
高级前端开发工程师,1-1.5万/月,重庆-渝北区,时代云英（重庆）科技有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,0.7-1.5万/月,上海-浦东新区,上海宗升工程科技有限公司,民营公司,少于50人,建筑/建材/工程,08-15
Web前端开发工程师（地铁口）,1.2-1.8万/月,广州-天河区,广州东方职业技术培训中心,非营利组织,50-150人,教育/培训/院校,08-15
Web前端开发工程师（***）,1-1.5万/月,上海-徐汇区,上海艾秒广告有限公司,民营公司,50-150人,广告,08-15
前端开发工程师,0.8-1.2万/月,上海-松江区,摩兰自控系统（上海）有限公司,民营公司,少于50人,仪器仪表/工业自动化,08-15
高级Web前端工程师,0.8-1万/月,沈阳-和平区,上海智典广告有限公司,合资,少于50人,计算机软件,08-15
前端开发工程师（自研非外包 + 互联网方向）,0.8-1.5万/月,深圳-南山区,深圳市远行科技股份有限公司,民营公司,50-150人,计算机软件,08-15
Web前端工程师,1.5-1.8万/月,上海-浦东新区,华夏源细胞工程集团股份有限公司,民营公司,50-150人,制药/生物工程,08-15
web前端开发主管/高级web开发工程师,1.5-2万/月,广州,广州智能科技发展有限公司,民营公司,150-500人,计算机软件,08-15
Web前端开发工程师（惠州）,0.8-1.2万/月,惠州,广东谷通科技有限公司,民营公司,500-1000人,互联网/电子商务,08-15
前端开发工程师(J10178),1-2万/月,武汉-洪山区,北京三维天地科技股份有限公司武汉分公司,民营公司,150-500人,计算机软件,08-15
前端开发工程师,1-2万/月,上海-闵行区,上海民航华东通信网络发展有限公司,国企,150-500人,通信/电信/网络设备,08-15
前端开发工程师,1-1.5万/月,广州-白云区,雷拓（广东）科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
Web前端开发工程师,1.5-2万/月,深圳-罗湖区,美联物业代理（深圳）有限公司,外资（非欧美）,1000-5000人,房地产,08-15
Web前端开发工程师,4-8千/月,沈阳-和平区,沈阳英威森科技有限公司,外资（欧美）,50-150人,计算机软件,08-15
WEB前端开发工程师,1-1.5万/月,广州-天河区,广州赛意信息科技股份有限公司,上市公司,1000-5000人,计算机软件,08-15
Web前端工程师,0.8-1.2万/月,深圳-南山区,深圳英之泰教育科技有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,1-1.5万/月,杭州-西湖区,北京中宇华兴科技有限公司杭州分公司,民营公司,150-500人,互联网/电子商务,08-15
Web前端开发工程师,1.2-2万/月,深圳-南山区,深圳市丽海弘金科技有限公司,民营公司,150-500人,计算机软件,08-15
高级前端开发工程师,2-2.5万/月,上海-静安区,上海同界数据科技股份有限公司,民营公司,150-500人,互联网/电子商务,08-15
Web前端开发工程师,6-8千/月,合肥-经开区,合肥佰赫智能科技有限公司,民营公司,50-150人,计算机软件,08-15
前端工程师（Vue）,1-1.5万/月,深圳-坪山区,深圳市拓迈科技有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
Web前端开发工程师,0.8-1.5万/月,南京-栖霞区,南京维科通信有限公司,民营公司,少于50人,通信/电信/网络设备,08-15
WEB前端工程师,0.8-1.8万/月,苏州-工业园区,众驼工业科技（苏州）有限公司,民营公司,少于50人,仪器仪表/工业自动化,08-15
Web前端开发工程师,0.7-1.5万/月,上海,上海美嘉林软件科技股份有限公司,上市公司,50-150人,计算机软件,08-15
Web前端开发工程师,0.8-1.6万/月,上海-松江区,上海讯霖信息科技有限公司,民营公司,50-150人,计算机软件,08-15
初级web前端开发工程师,4.5-6千/月,成都-高新区,成都匠翎信息技术有限公司,民营公司,150-500人,计算机软件,08-15
前端开发工程师,0.7-1.2万/月,重庆,重庆捷路科技有限公司,民营公司,50-150人,计算机软件,08-15
Web高级前端开发工程师,0.9-1.8万/月,成都-武侯区,成都戎星科技有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),08-15
Web前端开发工程师,0.7-1.2万/月,广州-黄埔区,广州久零区块链技术有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),08-15
Web前端开发工程师,0.8-1.5万/月,长沙-岳麓区,上海钢联物流股份有限公司,民营公司,150-500人,交通/运输/物流,08-15
H5前端开发工程师,0.6-1万/月,深圳-南山区,深圳市永兴元科技股份有限公司,民营公司,150-500人,计算机软件,08-15
Web前端开发工程师,0.8-1.2万/月,杭州-西湖区,杭州网会科技有限公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,6-8千/月,长沙-芙蓉区,湖南新亚泰科技有限公司,民营公司,50-150人,通信/电信运营、增值服务,08-15
高级Web前端工程师,1-2万/月,深圳-南山区,深圳市北科瑞声科技股份有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,1.5-2.5万/月,深圳-罗湖区,金千枝（深圳）软件技术有限公司,民营公司,150-500人,计算机软件,08-15
中级前端开发工程师,1-1.5万/月,南京-秦淮区,南京睿翊腾信息技术有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,1-1.7万/月,武汉-东湖新技术产业开发区,武汉安问科技发展有限责任公司,民营公司,少于50人,计算机软件,08-15
Web前端工程师,6-8千/月,上海-浦东新区,上海希熙信息科技有限公司,民营公司,少于50人,计算机软件,08-15
Web前端开发工程师,6-8千/月,武汉-东湖新技术产业开发区,武汉云侦科技有限公司,合资,50-150人,电气/电力/水利,08-15
前端开发工程师,1-1.5万/月,深圳-南山区,得实信息科技（深圳）有限公司,外资（非欧美）,50-150人,计算机软件,08-15
混合前端开发工程师,1-1.5万/月,宁波-鄞州区,宁波迪泰电子科技有限公司,民营公司,150-500人,通信/电信/网络设备,08-15
Web前端工程师,1-1.5万/月,上海-浦东新区,上海开铭智能科技有限公司,民营公司,150-500人,计算机软件,08-15
前端开发工程师,0.8-1.2万/月,无锡,江苏哲勤科技有限公司,民营公司,50-150人,计算机软件,08-15
