职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
厨师长（松江）,1-1.5万/月,上海-松江区,上海东湖物业管理有限公司,国企,1000-5000人,物业管理/商业中心,08-15
研发厨师（肉制品）,0.8-1.2万/月,上海,上海源耀农业股份有限公司,上市公司,500-1000人,农/林/牧/渔,08-15
厨师,3-4.5千/月,天津-武清区,天津奇柯龙安日化用品有限公司,民营公司,50-150人,石油/化工/矿产/地质,08-15
儿童餐厨师（简餐师）,4-7千/月,西安-长安区,西安乐天童趣商贸有限公司,民营公司,150-500人,家具/家电/玩具/礼品,08-15
食堂厨师,5-5.5千/月,广州-增城区,广州市奈本印刷机械有限公司,民营公司,50-150人,贸易/进出口,08-15
榆林农校急招厨师,4.5-6千/月,榆林,深圳市迈志豪餐饮实业有限公司,民营公司,5000-10000人,餐饮业,08-15
厨师长,0.8-1万/月,南京-江宁区,博粲斯（上海）餐饮管理有限公司,民营公司,少于50人,餐饮业,08-15
西餐热菜厨师长,0.8-1万/月,北京-朝阳区,北京北辰实业股份有限公司国家会议中心,国企,1000-5000人,酒店/旅游,08-15
厨师,6-8千/月,深圳,深圳新语餐饮管理有限公司,外资（欧美）,1000-5000人,餐饮业,08-15
厨师,0.8-1万/月,南昌-新建区,江西天祥实业集团有限公司,民营公司,少于50人,多元化业务集团公司,08-15
厨师,4-5千/月,北京,上海阳光物业管理分公司,国企,150-500人,物业管理/商业中心,08-15
厨师,4.5-6千/月,广州-白云区,广州三好物业管理有限公司,民营公司,,物业管理/商业中心,08-15
东北菜厨师-五险一金包吃住,5-6千/月,深圳-南山区,广州索迪斯管理服务有限公司,外资（欧美）,500-1000人,外包服务,08-15
厨师长,1-1.5万/月,成都,成都玛丽亚妇产儿童医院有限公司,民营公司,150-500人,医疗/护理/卫生,08-15
日料厨师,5-7千/月,上海-静安区,上海戊德餐饮管理有限公司,民营公司,,餐饮业,08-15
食堂厨师,6-8千/月,杭州-西湖区,杭州星溪置业有限公司,民营公司,150-500人,房地产,08-15
厨师,6-6.5千/月,宜春,江西华赣瑞林稀贵金属科技有限公司,国企,150-500人,采掘业/冶炼,08-15
厨师厨工,4.5-5千/月,东莞-东城区,广东明大城市更新有限公司,民营公司,50-150人,房地产,08-15
厨师,6-8千/月,苏州-相城区,沃孚森（苏州）精密机械工业有限公司,民营公司,50-150人,机械/设备/重工,08-15
简餐厨师,4-6千/月,东莞-莞城区,东莞市美轩装饰设计工程有限公司,民营公司,少于50人,家居/室内设计/装潢,08-15
中央厨房 厨师,4.5-6千/月,济南-天桥区,山东靑山外酒店管理有限公司,民营公司,,酒店/旅游,08-15
中餐厨师,1.5-2万/月,深圳-南山区,深圳市华泽置业有限公司,民营公司,50-150人,房地产,08-15
厨师,5-8千/月,重庆,重庆市阿家百货超市有限公司,民营公司,150-500人,批发/零售,08-15
厨师,6-7千/月,深圳-宝安区,深圳市泓任建设控股有限公司,民营公司,50-150人,建筑/建材/工程,08-15
厨师,1.5-2万/月,长沙,湖南中伟控股集团有限公司,民营公司,1000-5000人,新能源,08-15
员工食堂主厨/厨师长,6-8千/月,南通-海门市,上海香洋精细化工有限公司,民营公司,少于50人,石油/化工/矿产/地质,08-15
厨师招聘,3.5-6.5千/月,苏州-相城区,苏州科沃孚汽车零部件有限公司,民营公司,50-150人,机械/设备/重工,08-15
厨师,4.5-6千/月,资阳,四川安井食品有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),08-15
员工餐厨师,4.5-6千/月,北京-大兴区,北京呀路古热带植物园有限责任公司,民营公司,,贸易/进出口,08-15
食堂厨师,6-6.5千/月,深圳-南山区,深圳市粤美特实业集团有限公司,民营公司,150-500人,石油/化工/矿产/地质,08-15
外卖厨师,5-6千/月,广州-天河区,广州堡富贵餐饮管理有限公司,民营公司,50-150人,餐饮业,08-15
中餐厨师,6-8千/月,沈阳-和平区,沈阳潇咛科技有限公司,民营公司,少于50人,互联网/电子商务,08-15
厨师,4-4.5千/月,武汉-东西湖区,金士达实业（武汉）有限公司,合资,500-1000人,医疗设备/器械,08-15
员工餐厨师,3.5-4千/月,大连-沙河口区,大连凯泰铭物业管理有限公司,民营公司,少于50人,计算机软件,08-15
厨师,2-3千/月,沈阳,沈阳飞行船数码喷印设备有限公司,合资,50-150人,机械/设备/重工,08-15
厨师长,1-1.2万/月,上海,上海集城建设发展有限公司,民营公司,500-1000人,建筑/建材/工程,08-15
面档厨师,4-5千/月,广州-天河区,广州市华美教育管理有限公司,民营公司,500-1000人,教育/培训/院校,08-15
厨师长（产品厨师长）,5-6千/月,合肥-蜀山区,安徽超农商贸有限公司,民营公司,少于50人,批发/零售,08-15
私人厨师,3-6千/月,太原-杏花岭区,太原金杜商贸有限公司,民营公司,少于50人,贸易/进出口,08-15
实验幼儿园厨师,5-5.5千/月,广州-南沙区,广东盈超控股集团有限公司,民营公司,150-500人,多元化业务集团公司,08-15
厨师（工作地点：增城）,3-4.5千/月,广州-增城区,广东源创环境技术有限公司,民营公司,50-150人,环保,08-15
