职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
英语教师,0.8-1万/月,深圳,深圳市华章教育咨询有限公司,民营公司,少于50人,教育/培训/院校,08-15
金桥校区/英语老师,0.8-1万/月,上海-浦东新区,上海英鸿培训学校有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语小学初中高中教师/助教10K,0.8-1.2万/月,韶关,韶关市浈江区高思培优教育培训有限公司,合资,150-500人,教育/培训/院校,08-15
英语老师,5-8千/月,宁波-鄞州区,宁波鄞州贝之乐英语教育培训有限公司,民营公司,50-150人,教育/培训/院校,08-15
编辑老师（语文、数学、政治、地理、英语）,4.2-6.5千/月,西安-碑林区,陕西周秦教育文化有限公司,民营公司,少于50人,教育/培训/院校,08-15
高级英语老师/雅思老师（PC校区）,0.8-1.2万/月,广州,广州英基教育培训咨询有限责任公司,外资（非欧美）,50-150人,教育/培训/院校,08-15
初高中英语老师（浦东新区外高桥校区）,1.5-2万/月,上海-浦东新区,上海优梁教育投资有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师,0.8-1.5万/月,广州-天河区,广州南越悦教育咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师,0.8-1.2万/月,苏州-高新区,苏州格米状元培训中心有限公司,民营公司,150-500人,教育/培训/院校,08-15
国际课程英语老师,1.5-2万/月,宁波-海曙区,宁波海曙华通海派出国留学服务有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师+免费培训,6-8千/月,广州,美国爱丽丝国际语言学校有限公司,民营公司,50-150人,教育/培训/院校,08-15
助教老师（英语）,4-8千/月,沈阳-和平区,沈阳新航道教育培训学校,民营公司,150-500人,教育/培训/院校,08-15
托马斯少儿英语老师 (光谷),0.5-1万/月,武汉-洪山区,武汉托马斯学习馆光谷蓝光校区,民营公司,少于50人,教育/培训/院校,08-15
中小学英语老师,0.4-1.2万/月,无锡-江阴市,江阴市新思维教育咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语教师,0.6-1万/月,长春-汽车产业开发区,长春汽车经济技术开发区朗文外语培训学校,民营公司,50-150人,教育/培训/院校,08-15
英语老师,6-8千/月,张家港,张家港市佳音教育培训中心,非营利组织,少于50人,教育/培训/院校,08-15
少儿英语教师,3-4.5千/月,天津-南开区,天津市乐福天睿课外培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
少儿英语老师,0.8-1万/月,上海-杨浦区,上海拔萃教育培训有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语助教（通过培训可转岗教师）,4.5-8千/月,济南-市中区,济南市市中区南瓜藤教育培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
高中英语老师,0.7-1.3万/月,南京-雨花台区,南京启明文化传播有限公司,民营公司,少于50人,教育/培训/院校,08-15
宝山英语教师（北上海广场）,0.9-1.3万/月,上海-宝山区,昂立教育集团外语事业部,上市公司,1000-5000人,教育/培训/院校,08-15
初高中英语教师（江桥万达校区）,1-1.5万/月,上海-长宁区,昂立教育集团智立方中学生vip学习中心,上市公司,1000-5000人,教育/培训/院校,08-15
中教老师/英语老师/少儿英语老师,4.5-6千/月,佛山-顺德区,佛山睿贝教育咨询有限公司,民营公司,150-500人,教育/培训/院校,08-15
中专英语教师,3.5-6千/月,烟台,烟台市南山职业技术学校,民营公司,5000-10000人,教育/培训/院校,08-15
早教英语老师,4-8千/月,南昌-青山湖区,南昌育桥教育咨询有限公司,合资,150-500人,教育/培训/院校,08-15
高级少儿英语老师,1-1.5万/月,上海-闵行区,聚星英语阅读,民营公司,少于50人,教育/培训/院校,08-15
英语老师,4-8千/月,珠海-珠海高新区,珠海梦新科技教育有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师全职包住（急招）,0.8-1万/月,杭州-萧山区,杭州萧山鼎府培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
