职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
数据分析师,2-2.5万/月,武汉-武昌区,武汉菲翔时代教育科技有限公司,民营公司,500-1000人,教育/培训/院校,08-15
数据分析师,4-8千/月,郑州-惠济区,郑州思念食品有限公司,外资（非欧美）,10000人以上,快速消费品(食品、饮料、化妆品),08-15
数据分析师助理,6-8千/月,重庆-渝中区,重庆润捷盛安信息科技有限公司,民营公司,,计算机软件,08-15
数据分析师,0.8-1万/月,上海-徐汇区,云之富（上海）数据服务有限公司,民营公司,50-150人,家居/室内设计/装潢,08-15
高级/资深游戏数据分析师,2-2.5万/月,广州-天河区,网易,上市公司,10000人以上,网络游戏,08-15
数据分析师,6-8千/月,北京-西城区,神州数码信息服务股份有限公司,上市公司,5000-10000人,计算机服务(系统、数据服务、维修),08-15
数据分析师,0.6-1.1万/月,成都-高新区,去哪儿网机票事业部,上市公司,1000-5000人,互联网/电子商务,08-15
数据分析师（广告投放）,1.5-2万/月,北京,完美世界（北京）总部\/完美时空,外资（欧美）,,影视/媒体/艺术/文化传播,08-15
1121OP-数据分析师BI/SA,40-50万/年,深圳-福田区,平安科技（深圳）有限公司,民营公司,1000-5000人,互联网/电子商务,08-15
本地生活-BI数据分析师-策略,,北京,阿里巴巴集团,上市公司,10000人以上,互联网/电子商务,08-15
数据分析师 R3575980,,上海-浦东新区,GE医疗集团,外资（欧美）,5000-10000人,医疗设备/器械,08-15
ECDP-ONLY- 品牌商业数据分析师,1.5-2.5万/月,北京-朝阳区,绫致时装（天津）有限公司,外资（欧美）,10000人以上,服装/纺织/皮革,08-15
销售数据分析师,1-1.5万/月,北京-大兴区,中外运-敦豪(DHL-Sinotrans),合资,5000-10000人,交通/运输/物流,08-15
数据分析师,0.6-1万/月,西宁,亚信科技OBC,民营公司,10000人以上,计算机软件,08-15
数据分析师,0.7-1.2万/月,武汉-东西湖区,亚信科技CMC,合资,10000人以上,计算机软件,08-15
高级数据模型分析师,1-2万/月,广州-越秀区,亚信科技CTC,合资,10000人以上,计算机软件,08-15
数据分析师,0.5-1万/月,西安-未央区,西安鼎安鑫汇企业管理咨询有限公司,民营公司,少于50人,金融/投资/证券,08-15
数据运营/数据分析师,1.5-2万/月,深圳-福田区,赛诺贝斯（北京）营销技术股份有限公司,民营公司,500-1000人,互联网/电子商务,08-15
数据分析师,5-8千/月,郑州-郑东新区,天瑞集团股份有限公司,民营公司,10000人以上,多元化业务集团公司,08-15
数据分析师,1.3-2.5万/月,上海-杨浦区,上海思建网络科技有限公司,民营公司,50-150人,金融/投资/证券,08-15
数据分析师,1.3-2.3万/月,南京-雨花台区,深圳市德科信息技术有限公司,民营公司,1000-5000人,计算机服务(系统、数据服务、维修),08-15
数据分析师（五险一金+双休）,0.8-1.6万/月,广州-越秀区,广东新时代投资股份有限公司,民营公司,50-150人,金融/投资/证券,08-15
数据分析师,0.9-1.2万/月,广州-番禺区,SHEIN,民营公司,5000-10000人,互联网/电子商务,08-15
数据分析师,1-2万/月,深圳-福田区,深圳市世纪明亮科技有限公司,民营公司,50-150人,环保,08-15
数据分析师,0.8-1.5万/月,东莞,深圳中电港技术股份有限公司,国企,1000-5000人,电子技术/半导体/集成电路,08-15
计划数据分析师,1.5-2万/月,东莞-大岭山镇,广东拓斯达科技股份有限公司,上市公司,1000-5000人,仪器仪表/工业自动化,08-15
数据分析师,1.2-2万/月,深圳-宝安区,深圳轻喜到家科技有限公司,民营公司,1000-5000人,生活服务,08-15
数据分析师,2-3万/月,上海-长宁区,上海东福网络科技有限公司,民营公司,1000-5000人,互联网/电子商务,08-15
数据分析师（大平台+运营向）,0.7-1.2万/月,广州-白云区,广州棒谷科技股份有限公司,民营公司,5000-10000人,互联网/电子商务,08-15
数据分析师,1.5-2万/月,北京-朝阳区,中盈鼎盛（北京）科技有限公司,民营公司,50-150人,金融/投资/证券,08-15
数据分析师,4-8千/月,广州-白云区,广东易成供应链有限公司,民营公司,50-150人,互联网/电子商务,08-15
数据分析师助理/高薪,0.8-1万/月,深圳-罗湖区,陕西大佑文化科技有限公司,民营公司,150-500人,计算机软件,08-15
数据分析师-第三方合同,1.5-2万/月,上海-闵行区,西部数据,外资（欧美）,1000-5000人,电子技术/半导体/集成电路,08-15
数据分析师,4-5.5千/月,合肥-庐阳区,安徽语禾品牌管理有限公司,民营公司,50-150人,服装/纺织/皮革,08-15
